OBJECTID;COUNTRY;NAME;N_TURBINES;POWER_MW;STATUS;TYPE_INST;UPDT_YEAR;START_YEAR;COAST_DIST_M;AREA_SQKM;NOTES;Shape_Length;Shape_Area
133;United Kingdom;Holyhead Deep 0.5MW Site;0;1,2;Approved; ;0;0;5543,874152;1,500253299; ;0,061247178;0,000202171
134;United Kingdom;Perpetuus Tidal Energy Centre (PTEC);1;30;Approved; ;0;0;2300,769949;5,017489002; ;0,175681043;0,000636504
135;United Kingdom;META Phase 2 - East Pickard Bay;0;0;Production; ;0;0;346,3893493;0,959260634; ;0,071712897;0,000124609
136;United Kingdom;META Phase 2 - Dale Roads;0;0;Production; ;0;0;178,0422987;0,195617927; ;0,021117916;2,54373E-05
137;United Kingdom;META Phase 2 - Warrior Way;0;0;Production; ;0;0;750,6907767;0,091529064; ;0,018649533;1,18997E-05
138;United Kingdom;FabTest, Falmouth Bay;0;3;Test site; ;0;0;2263,21624;2,8495712; ;0,080485105;0,000358134
139;United Kingdom;EMEC Bilia Croo;0;0;Production; ;0;0;0;7,418760784; ;0,195311221;0,00115806
140;United Kingdom;EMEC Fall of Wareness;0;0;Production; ;0;0;0;9,10584944; ;0,222783724;0,001428254
141;United Kingdom;Sound of Islay;10;10;Approved; ;0;0;210,9583518;0,351767068; ;0,035726084;5,043E-05
142;United Kingdom;Isle of Islay;30;30;Approved; ;0;0;4575,944364;2,279571684; ;0,10914029;0,000325292
143;United Kingdom;Mull of Kintyre;7;2,5;Approved; ;0;0;131,0837155;25,73176416; ;0,275796081;0,003640231
144;United Kingdom;EMEC Scapa Flow;0;0;Production; ;0;0;293,2471137;1,391869023; ;0,059341573;0,000216728
145;United Kingdom;EMEC Shapinsay Sound;0;0;Production; ;0;0;533,9700787;1,409689503; ;0,070423775;0,000220191
146;United Kingdom;Lashy Sound;15;10;Approved; ;0;0;221,2733314;4,193958077; ;0,133248794;0,000659234
147;United Kingdom;Inner Sound;4;398;Production; ;0;0;396,0986129;3,275335104; ;0,180031677;0,000506613
148;United Kingdom;Mingary;0;0;Planned; ;0;0;24,7718883;0,721219235; ;0,056733633;0,000105702
149;United Kingdom;Bluemull Sound;1;0,3;Production; ;0;0;175,0518637;0,077876093; ;0,015168753;1,27968E-05
150;United Kingdom;Connel (PLAT-I);0;0,28;Production; ;0;0;72,7126305;0,035524518; ;0,00985818;5,17435E-06
151;United Kingdom;Oran na Mara;0;3;Planned; ;0;0;254,7615163;0,640926753; ;0,0434465;9,19498E-05
152;Germany;N-3.5;0;400;Planned; ;2025;0;33834,94844;28,85313892; ;0,343660603;0,003954558
153;Germany;N-3.6;0;210;Planned; ;2025;0;37107,58109;33,16131926; ;0,276693055;0,004548281
